,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,ROI_pct,release_dt
133,3947631,6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,4/18/1986,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986,65.79384999999999,1986-04-18
139,679650,4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,9/12/1986,104,5.9,Michael Dudikoff,1808,James Booth,1986,16.99124999999999,1986-09-12
145,-6042057,18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,12/25/1986,108,6.9,Blythe Danner,2720,Neil Simon,1986,-33.56698333333333,1986-12-25
157,-20992750,25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,11/7/1986,127,5.5,Bryan Brown,1340,John Briley,1986,-83.97099999999999,1986-11-07
159,-14206786,17000000,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,R,3/13/1987,101,5.5,Burt Reynolds,1358,William Goldman,1986,-83.5693294117647,1987-03-13
166,4034150,14000000,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,5/2/1986,97,6.3,Richard Pryor,1288,Rocco Urbisci,1986,28.815357142857145,1986-05-02
168,-13356,3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,R,8/29/1986,97,4.3,Mike Norris,1509,Renny Harlin,1986,-0.39266461573198574,1986-08-29
169,-3052213,10000000,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,R,5/2/1986,83,4.4,Judd Nelson,792,Ross Macdonald,1986,-30.522130000000004,1986-05-02
182,-698879,2000000,American Playhouse,USA,Jerrold Freedman,Drama,1301121,Native Son,PG,12/12/1986,111,5.9,Victor Love,448,Richard Wesley,1986,-34.94395,1986-12-12
199,-15704500,18000000,J&M; Entertainment,UK,Zoran Perisic,Action,2295500,Sky Bandits,PG,10/31/1986,100,4.6,Scott McGinnis,183,Thom Keyes,1986,-87.24722222222222,1986-10-31
