,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,ROI_pct,release_dt
3910,-30061,850000,Funny Boy Films,USA,C. Jay Cox,Comedy,819939,Latter Days,R,7/1/2004,107,7.1,Wes Ramsey,15271,C. Jay Cox,2003,-3.5365882352941136,2004-07-01
3912,1550605,14000000,Dimension Films,USA,David Zucker,Comedy,15550605,My Boss's Daughter,PG-13,8/22/2003,86,4.7,Ashton Kutcher,25363,David Dorfman,2003,11.075750000000006,2003-08-22
3913,-1891482,16000000,Focus Features,USA,Clare Kilner,Comedy,14108518,How to Deal,PG-13,7/18/2003,100,5.6,Mandy Moore,8473,Sarah Dessen,2003,-11.821762499999998,2003-07-18
3916,27887943,20000000,Disney Television Animation,USA,Steve Trenbirth,Animation,47887943,The Jungle Book 2,G,2/14/2003,72,5.4,John Goodman,12558,Karl Geurs,2003,139.439715,2003-02-14
3918,-7663544,8000000,Icon Productions,USA,Keith Gordon,Comedy,336456,The Singing Detective,R,11/14/2003,109,5.6,Robert Downey Jr.,7414,Dennis Potter,2003,-95.79429999999999,2003-11-14
3920,20566230,17000000,Metro-Goldwyn-Mayer (MGM),USA,John Hoffman,Comedy,37566230,Good Boy!,PG,10/10/2003,100,5.1,Liam Aiken,3591,Zeke Richardson,2003,120.97782352941175,2003-10-10
3924,15238577,15000000,Paramount Pictures,USA,Jonathan Lynn,Comedy,30238577,The Fighting Temptations,PG-13,9/19/2003,123,5.5,Cuba Gooding Jr.,6052,Elizabeth Hunter,2003,101.59051333333333,2003-09-19
3928,-4103007,5000000,Brown Sauce Film Productions,Ireland,John Crowley,Comedy,896993,Intermission,R,4/16/2004,105,6.9,Cillian Murphy,14096,Mark O'Rowe,2003,-82.06014,2004-04-16
3929,-7302852,7500000,British Broadcasting Corporation (BBC),UK,Michael Winterbottom,Drama,197148,Code 46,R,9/17/2004,93,6.2,Tim Robbins,18738,Frank Cottrell Boyce,2003,-97.37136,2004-09-17
3933,-6766775,6800000,Cobalt Media Group,USA,Damian Nieman,Crime,33225,Shade,R,5/9/2004,101,6.4,Joe Nicolo,11130,Damian Nieman,2003,-99.51139705882352,2004-05-09
3936,-12718415,15000000,Sony Pictures Classics,Germany,Robert Altman,Drama,2281585,The Company,PG-13,5/20/2004,112,6.4,Neve Campbell,5757,Neve Campbell,2003,-84.78943333333333,2004-05-20
3940,-15791616,30000000,Epsilon Motion Pictures,USA,Rob Reiner,Comedy,14208384,Alex & Emma,PG-13,6/20/2003,100,5.6,Luke Wilson,11953,Jeremy Leven,2003,-52.638720000000006,2003-06-20
3941,-5092946,5740000,Australian Film Finance Corporation (AFFC),Australia,Sue Brooks,Drama,647054,Japanese Story,R,9/25/2003,105,6.7,Toni Collette,5814,Alison Tilson,2003,-88.72728222996516,2003-09-25
3942,-14980933,15000000,ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I),Canada,Bronwen Hughes,Action,19067,Stander,R,10/10/2003,116,7.2,Thomas Jane,7443,Bima Stagg,2003,-99.87288666666667,2003-10-10
3943,-8988946,10000000,Alliance Atlantis Communications,Canada,Richard Kwietniowski,Crime,1011054,Owning Mahowny,R,9/25/2003,104,7.1,Philip Seymour Hoffman,11120,Gary Stephen Ross,2003,-89.88946,2003-09-25
3947,-12779,20000,Professor Bright Films,USA,Ben Coccio,Drama,7221,Zero Day,UNRATED,1/23/2004,92,7.3,Cal Robertson,3594,Ben Coccio,2003,-63.895,2004-01-23
3958,-720718,1000000,LivePlanet,USA,Efram Potelle,Drama,279282,The Battle of Shaker Heights,PG-13,8/22/2003,100,6.1,Shia LaBeouf,3926,Erica Beeney,2003,-72.0718,2003-08-22
3960,52001787,29000000,New Line Cinema,USA,Nick Cassavetes,Drama,81001787,The Notebook,PG-13,6/25/2004,123,7.9,Gena Rowlands,430711,Jeremy Leven,2004,179.31650689655174,2004-06-25
3961,54800369,1200000,Evolution Entertainment,USA,James Wan,Horror,56000369,Saw,R,10/29/2004,103,7.7,Cary Elwes,322727,Leigh Whannell,2004,4566.697416666667,2004-10-29
3962,-41621744,175000000,Warner Bros.,USA,Wolfgang Petersen,Drama,133378256,Troy,R,5/14/2004,163,7.2,Brad Pitt,414038,Homer,2004,-23.78385371428572,2004-05-14
3963,54197520,60000000,Touchstone Pictures,USA,M. Night Shyamalan,Drama,114197520,The Village,PG-13,7/30/2004,108,6.5,Sigourney Weaver,209350,M. Night Shyamalan,2004,90.3292,2004-07-30
3964,-6376042,66000000,Revolution Studios,USA,Guillermo del Toro,Action,59623958,Hellboy,PG-13,4/2/2004,122,6.8,Ron Perlman,261530,Guillermo del Toro,2004,-9.660669696969693,2004-04-02
3965,69058055,17000000,Paramount Pictures,USA,Mark Waters,Comedy,86058055,Mean Girls,PG-13,4/30/2004,97,7.0,Lindsay Lohan,270476,Rosalind Wiseman,2004,406.22385294117646,2004-04-30
3966,119358727,130000000,Warner Bros.,UK,Alfonso Cuar�n,Adventure,249358727,Harry Potter and the Prisoner of Azkaban,PG,6/4/2004,142,7.8,Daniel Radcliffe,427343,J.K. Rowling,2004,91.81440538461538,2004-06-04
3967,169441092,92000000,Pixar Animation Studios,USA,Brad Bird,Animation,261441092,The Incredibles,PG,11/5/2004,115,8.0,Craig T. Nelson,520926,Brad Bird,2004,184.1751,2004-11-05
3968,14400301,20000000,Focus Features,USA,Michel Gondry,Drama,34400301,Eternal Sunshine of the Spotless Mind,R,3/19/2004,108,8.3,Jim Carrey,736127,Charlie Kaufman,2004,72.001505,2004-03-19
3969,61740799,125000000,Twentieth Century Fox Film Corporation,USA,Roland Emmerich,Action,186740799,The Day After Tomorrow,PG-13,5/28/2004,124,6.4,Dennis Quaid,356977,Roland Emmerich,2004,49.39263920000001,2004-05-28
3970,36208183,30000000,Miramax,USA,Quentin Tarantino,Action,66208183,Kill Bill: Vol. 2,R,4/16/2004,137,8.0,Uma Thurman,555508,Quentin Tarantino,2004,120.69394333333334,2004-04-16
3971,682273,33000000,Lions Gate Films,USA,Jonathan Hensleigh,Action,33682273,The Punisher,R,4/16/2004,124,6.5,Thomas Jane,132115,Jonathan Hensleigh,2004,2.0674939393939384,2004-04-16
3972,-7281777,25000000,DreamWorks,USA,Jeff Schaffer,Comedy,17718223,EuroTrip,R,2/20/2004,93,6.6,Scott Mechlowicz,171296,Alec Berg,2004,-29.127108,2004-02-20
3974,-39822916,160000000,Universal Pictures,USA,Stephen Sommers,Action,120177084,Van Helsing,PG-13,5/7/2004,131,6.0,Hugh Jackman,211483,Stephen Sommers,2004,-24.8893225,2004-05-07
3975,-18731185,70000000,Warner Bros.,UK,Joel Schumacher,Drama,51268815,The Phantom of the Opera,PG-13,12/22/2004,143,7.3,Gerard Butler,102339,Gaston Leroux,2004,-26.758835714285713,2004-12-22
3976,-10410556,25000000,Regency Enterprises,USA,Luke Greenfield,Comedy,14589444,The Girl Next Door,R,4/9/2004,108,6.8,Emile Hirsch,180214,David Wagner,2004,-41.642224000000006,2004-04-09
3977,33831760,37000000,Revolution Studios,USA,Keenen Ivory Wayans,Comedy,70831760,White Chicks,PG-13,6/23/2004,109,5.5,Marlon Wayans,107599,Keenen Ivory Wayans,2004,91.4371891891892,2004-06-23
3978,-3917285,5000000,Filmax Group,Spain,Brad Anderson,Drama,1082715,The Machinist,R,12/3/2004,101,7.7,Christian Bale,304458,Scott Kosar,2004,-78.3457,2004-12-03
3979,48080300,6500000,Bob Yari Productions,USA,Paul Haggis,Crime,54580300,Crash,R,5/6/2005,112,7.8,Don Cheadle,379156,Paul Haggis,2004,739.6969230769232,2005-05-06
3980,44140956,400000,Fox Searchlight Pictures,USA,Jared Hess,Comedy,44540956,Napoleon Dynamite,PG,8/27/2004,96,6.9,Jon Heder,171007,Jared Hess,2004,11035.239,2004-08-27
3982,70492203,30000000,Warner Bros.,USA,Clint Eastwood,Drama,100492203,Million Dollar Baby,PG-13,1/28/2005,132,8.1,Hilary Swank,528910,Paul Haggis,2004,234.97401,2005-01-28
3983,44938693,13000000,BenderSpink,USA,Eric Bress,Sci-Fi,57938693,The Butterfly Effect,R,1/23/2004,113,7.7,Ashton Kutcher,387284,J. Mackye Gruber,2004,345.68225384615386,2004-01-23
3984,5083732,12000000,Rogue Pictures,Romania,Don Mancini,Comedy,17083732,Chucky 5: El Hijo de Chucky,R,11/12/2004,87,4.9,Jennifer Tilly,31029,Don Mancini,2004,42.36443333333333,2004-11-12
3986,33020957,26000000,Strike Entertainment,USA,Zack Snyder,Action,59020957,Dawn of the Dead,R,3/19/2004,101,7.3,Sarah Polley,206262,George A. Romero,2004,127.00368076923078,2004-03-19
3987,340782930,30000000,Icon Productions,USA,Mel Gibson,Drama,370782930,The Passion of the Christ,R,2/25/2004,127,7.2,Jim Caviezel,189031,Benedict Fitzgerald,2004,1135.9431,2004-02-25
3988,-25993274,50000000,Touchstone Pictures,USA,Wes Anderson,Adventure,24006726,The Life Aquatic with Steve Zissou,R,12/25/2004,119,7.3,Bill Murray,151463,Wes Anderson,2004,-51.986548,2004-12-25
3989,6987757,27000000,Columbia Pictures,USA,Mike Nichols,Drama,33987757,Closer,R,12/3/2004,104,7.3,Natalie Portman,177735,Patrick Marber,2004,25.880581481481492,2004-12-03
3990,-19288904,24000000,Buena Vista Home Entertainment,Japan,Hayao Miyazaki,Animation,4711096,Howl's Moving Castle,PG,6/17/2005,119,8.2,Chieko Baish�,242412,Hayao Miyazaki,2004,-80.37043333333334,2005-06-17
3991,-7391173,110000000,Forward Pass,Germany,Martin Scorsese,Biography,102608827,El aviador,PG-13,12/25/2004,170,7.5,Leonardo DiCaprio,284387,John Logan,2004,-6.719248181818182,2004-12-25
3992,94326736,20000000,Twentieth Century Fox Film Corporation,USA,Rawson Marshall Thurber,Comedy,114326736,Dodgeball: A True Underdog Story,PG-13,6/18/2004,92,6.7,Ben Stiller,198343,Rawson Marshall Thurber,2004,471.63367999999997,2004-06-18
3993,-68117756,120000000,Touchstone Pictures,USA,Antoine Fuqua,Action,51882244,King Arthur,PG-13,7/7/2004,126,6.3,Clive Owen,144158,David Franzoni,2004,-56.76479666666667,2004-07-07
3994,-21372883,140000000,Paramount Pictures,USA,Brad Silberling,Adventure,118627117,A Series of Unfortunate Events,PG,12/17/2004,108,6.8,Jim Carrey,172422,Robert Gordon,2004,-15.266345000000003,2004-12-17
3995,20231747,37000000,Revolution Studios,USA,Gary Winick,Comedy,57231747,13 Going on 30,PG-13,4/23/2004,98,6.1,Jennifer Garner,132486,Josh Goldsmith,2004,54.680397297297304,2004-04-23
3996,26680613,25000000,Miramax,USA,Marc Forster,Biography,51680613,Finding Neverland,PG,12/17/2004,106,7.7,Johnny Depp,182038,Allan Knee,2004,106.72245199999999,2004-12-17
3997,173585825,200000000,Columbia Pictures Corporation,USA,Sam Raimi,Action,373585825,Spider-Man 2,PG-13,6/30/2004,127,7.3,Tobey Maguire,451467,Stan Lee,2004,86.79291250000001,2004-06-30
3998,36005703,65000000,Paramount Pictures,USA,Michael Mann,Crime,101005703,Collateral,R,8/6/2004,115,7.6,Tom Cruise,312190,Stuart Beattie,2004,55.393389230769245,2004-08-06
3999,24801023,120000000,Twentieth Century Fox Film Corporation,USA,Alex Proyas,Action,144801023,"I, Robot",PG-13,7/16/2004,115,7.1,Will Smith,423244,Jeff Vintar,2004,20.667519166666672,2004-07-16
4000,101241941,75000000,Universal Pictures,USA,Paul Greengrass,Action,176241941,The Bourne Supremacy,PG-13,7/23/2004,108,7.8,Matt Damon,379648,Robert Ludlum,2004,134.98925466666668,2004-07-23
4001,286471036,150000000,DreamWorks,USA,Andrew Adamson,Animation,436471036,Shrek 2,PG,5/19/2004,93,7.2,Mike Myers,342666,William Steig,2004,190.98069066666667,2004-05-19
4002,7911774,70000000,Fox 2000 Pictures,USA,Tony Scott,Action,77911774,Man on Fire,R,4/23/2004,146,7.7,Denzel Washington,285049,A.J. Quinnell,2004,11.302534285714284,2004-04-23
4003,-120702809,155000000,Warner Bros.,Germany,Oliver Stone,Action,34297191,Alexander,R,11/24/2004,175,5.5,Colin Farrell,146107,Oliver Stone,2004,-77.87277999999999,2004-11-24
4004,-47238988,105000000,Universal Pictures,USA,David Twohy,Action,57761012,The Chronicles of Riddick,PG-13,6/11/2004,119,6.7,Vin Diesel,193580,Jim Wheat,2004,-44.98951238095238,2004-06-11
4005,31438175,20000000,Warner Bros.,USA,Mark Rosman,Comedy,51438175,A Cinderella Story,PG,7/16/2004,95,5.9,Hilary Duff,68595,Leigh Dunlap,2004,157.190875,2004-07-16
4006,17872883,60000000,DreamWorks,USA,Steven Spielberg,Comedy,77872883,The Terminal,PG-13,6/18/2004,128,7.3,Tom Hanks,330983,Andrew Niccol,2004,29.788138333333336,2004-06-18
4007,59503593,12000000,Fox Searchlight Pictures,USA,Alexander Payne,Comedy,71503593,Sideways,R,1/21/2005,126,7.5,Paul Giamatti,158415,Rex Pickett,2004,495.86327499999993,2005-01-21
4008,45908074,75000000,Columbia Pictures Corporation,USA,Peter Segal,Comedy,120908074,50 First Dates,PG-13,2/13/2004,99,6.8,Adam Sandler,283647,George Wing,2004,61.21076533333334,2004-02-13
4010,59288303,26000000,DreamWorks,USA,Adam McKay,Comedy,85288303,Anchorman: The Legend of Ron Burgundy,PG-13,7/9/2004,94,7.2,Will Ferrell,286238,Will Ferrell,2004,228.0319346153846,2004-07-09
4011,20282231,60000000,Twentieth Century Fox Film Corporation,USA,Paul W.S. Anderson,Action,80282231,AVP: Alien vs. Predator,PG-13,8/13/2004,101,5.6,Sanaa Lathan,157399,Dan O'Bannon,2004,33.803718333333336,2004-08-13
4012,73008894,100000000,Walt Disney Pictures,USA,Jon Turteltaub,Action,173008894,National Treasure,PG,11/19/2004,131,6.9,Nicolas Cage,268591,Jim Kouf,2004,73.008894,2004-11-19
4013,55170481,40000000,Walt Disney Pictures,USA,Garry Marshall,Comedy,95170481,The Princess Diaries 2: Royal Engagement,G,8/11/2004,113,5.7,Anne Hathaway,59819,Meg Cabot,2004,137.92620250000002,2004-08-11
4014,-12588094,65000000,New Line Cinema,USA,David S. Goyer,Action,52411906,Blade: Trinity,R,12/8/2004,113,5.9,Wesley Snipes,143476,David S. Goyer,2004,-19.366298461538467,2004-12-08
4015,31188085,30000000,Universal Pictures,Germany,Peter Berg,Action,61188085,Juego de viernes por la noche,PG-13,10/8/2004,118,7.3,Billy Bob Thornton,50432,Buzz Bissinger,2004,103.96028333333334,2004-10-08
4016,15544280,110000000,Warner Bros.,USA,Steven Soderbergh,Crime,125544280,Ocean's Twelve,PG-13,12/10/2004,125,6.5,George Clooney,305800,George Nolfi,2004,14.131163636363642,2004-12-10
4017,46097164,42000000,Universal Pictures,USA,John Hamburg,Comedy,88097164,Along Came Polly,PG-13,1/16/2004,90,5.9,Ben Stiller,111747,John Hamburg,2004,109.7551523809524,2004-01-16
4018,-10838410,25000000,Lions Gate Films,USA,Guy Ferland,Drama,14161590,Dirty Dancing: Havana Nights,PG-13,2/27/2004,86,6.0,Diego Luna,23521,Kate Gunzinger,2004,-43.353640000000006,2004-02-27
4019,417760,7000,ERBP,USA,Shane Carruth,Drama,424760,Primer,PG-13,5/27/2005,77,6.9,Shane Carruth,81468,Shane Carruth,2004,5968.0,2005-05-27
4020,9225165,9000000,Endgame Entertainment,USA,Danny Leiner,Adventure,18225165,Harold & Kumar Go to White Castle,R,7/30/2004,88,7.1,John Cho,163200,Jon Hurwitz,2004,102.50183333333331,2004-07-30
4021,2774834,30000000,Paramount Pictures,USA,Trey Parker,Action,32774834,Team America: World Police,R,10/15/2004,98,7.2,Trey Parker,142880,Trey Parker,2004,9.249446666666671,2004-10-15
4022,-12081613,35000000,Miramax,USA,Tommy O'Haver,Comedy,22918387,Ella Enchanted,PG,4/9/2004,96,6.3,Anne Hathaway,51752,Laurie Craig,2004,-34.51889428571428,2004-04-09
4023,24282316,2500000,Camelot Pictures,USA,Zach Braff,Comedy,26782316,Garden State,R,8/20/2004,102,7.5,Zach Braff,194118,Zach Braff,2004,971.2926400000001,2004-08-20
4024,-30515258,90000000,Paramount Pictures,USA,Frank Oz,Comedy,59484742,The Stepford Wives,PG-13,6/11/2004,93,5.2,Nicole Kidman,52194,Ira Levin,2004,-33.905842222222226,2004-06-11
4025,-563610,10000000,Metro-Goldwyn-Mayer (MGM),USA,Joe Nussbaum,Comedy,9436390,Sleepover,PG,7/9/2004,89,5.3,Alexa PenaVega,13433,Elisa Bell,2004,-5.636099999999999,2004-07-09
4026,100359362,10000000,Columbia Pictures,USA,Takashi Shimizu,Horror,110359362,The Grudge,PG-13,10/22/2004,91,5.9,Sarah Michelle Gellar,123089,Stephen Susco,2004,1003.59362,2004-10-22
4027,14331068,15000000,Walt Disney Pictures,Germany,Sara Sugarman,Comedy,29331068,Confessions of a Teenage Drama Queen,PG,2/20/2004,89,4.6,Lindsay Lohan,24586,Dyan Sheldon,2004,95.54045333333335,2004-02-20
4028,18373735,165000000,Castle Rock Entertainment,USA,Robert Zemeckis,Animation,183373735,The Polar Express,G,11/10/2004,100,6.6,Tom Hanks,134170,Chris Van Allsburg,2004,11.13559696969697,2004-11-10
4029,6201453,45000000,Davis Films / Impact Pictures,Germany,Alexander Witt,Action,51201453,Resident Evil: Apocalypse,R,9/10/2004,94,6.2,Milla Jovovich,164937,Paul W.S. Anderson,2004,13.781006666666663,2004-09-10
4030,3092822,2700000,Warner Independent Pictures (WIP),USA,Richard Linklater,Drama,5792822,Before Sunset,R,7/30/2004,80,8.0,Ethan Hawke,183175,Richard Linklater,2004,114.54896296296297,2004-07-30
4031,5972900,17500000,United Artists,UK,Terry George,Biography,23472900,Hotel Rwanda,PG-13,2/4/2005,121,8.1,Don Cheadle,286561,Keir Pearson,2004,34.13085714285715,2005-02-04
4032,8022900,40000000,Grand Slam Productions,USA,David Koepp,Mystery,48022900,Secret Window,PG-13,3/12/2004,96,6.6,Johnny Depp,157858,Stephen King,2004,20.057250000000003,2004-03-12
4033,199261160,80000000,Universal Pictures,USA,Jay Roach,Comedy,279261160,Meet the Fockers,PG-13,12/22/2004,115,6.3,Ben Stiller,223589,Greg Glienna,2004,249.07645,2004-12-22
4034,-14044370,80000000,Paramount Pictures,USA,Jonathan Demme,Drama,65955630,The Manchurian Candidate,R,7/30/2004,129,6.6,Denzel Washington,91522,Richard Condon,2004,-17.555462499999997,2004-07-30
4035,85861908,75000000,DreamWorks Animation,USA,Bibo Bergeron,Animation,160861908,Shark Tale,PG,10/1/2004,90,6.0,Will Smith,142203,Michael J. Wilson,2004,114.48254399999999,2004-10-01
4036,-12317658,45000000,Warner Bros.,USA,D.J. Caruso,Crime,32682342,Taking Lives,R,3/19/2004,103,6.2,Angelina Jolie,69195,Michael Pye,2004,-27.37257333333334,2004-03-19
4037,-59797621,100000000,Warner Bros.,USA,Pitof,Action,40202379,Catwoman,PG-13,7/23/2004,104,3.3,Halle Berry,93348,Bob Kane,2004,-59.797621,2004-07-23
4038,-2891409,20000000,Columbia Pictures Film Production Asia,Hong Kong,Stephen Chow,Action,17108591,Kung Fu Hustle,R,4/22/2005,99,7.8,Stephen Chow,106883,Stephen Chow,2004,-14.457045,2005-04-22
4039,4799191,35000000,Touchstone Pictures,USA,Ethan Coen,Comedy,39799191,The Ladykillers,R,3/26/2004,104,6.2,Tom Hanks,88680,Joel Coen,2004,13.711974285714291,2004-03-26
4040,-10139961,56000000,Metro-Goldwyn-Mayer (MGM),USA,Kevin Bray,Action,45860039,Walking Tall,PG-13,4/2/2004,86,6.2,Dwayne Johnson,57133,Mort Briskin,2004,-18.10707321428572,2004-04-02
4041,4216833,80000000,Warner Bros.,USA,Raja Gosnell,Animation,84216833,Scooby-Doo 2: Monsters Unleashed,PG,3/26/2004,93,5.0,Freddie Prinze Jr.,36847,William Hanna,2004,5.271041249999997,2004-03-26
4042,-37955679,80000000,Columbia Pictures Corporation,USA,James L. Brooks,Comedy,42044321,Spanglish,PG-13,12/17/2004,131,6.4,Adam Sandler,69272,James L. Brooks,2004,-47.44459875,2004-12-17
4043,-32239920,70000000,Paramount Pictures,USA,Kerry Conran,Action,37760080,Sky Captain and the World of Tomorrow,PG,9/17/2004,106,6.1,Gwyneth Paltrow,75399,Kerry Conran,2004,-46.057028571428575,2004-09-17
4044,-85991863,110000000,Walden Media,USA,Frank Coraci,Action,24008137,Around the World in 80 Days,PG,6/16/2004,120,5.8,Jackie Chan,73536,Jules Verne,2004,-78.1744209090909,2004-06-16
4045,55417988,30000000,Paramount Pictures,USA,Stephen Hillenburg,Animation,85417988,The SpongeBob SquarePants Movie,PG,11/19/2004,87,7.0,Jeffrey Tambor,64107,Stephen Hillenburg,2004,184.72662666666668,2004-11-19
4046,36378093,28000000,Pop Pop Productions,Canada,Gavin O'Connor,Biography,64378093,Miracle,PG,2/6/2004,135,7.5,Kurt Russell,39178,Eric Guggenheim,2004,129.92176071428568,2004-02-06
4047,35331600,40000000,Universal Pictures,USA,Taylor Hackford,Biography,75331600,Ray,PG-13,10/29/2004,152,7.7,Jamie Foxx,118242,Taylor Hackford,2004,88.329,2004-10-29
4048,226215,40000000,Universal Pictures,UK,Beeban Kidron,Comedy,40226215,Bridget Jones: The Edge of Reason,R,11/19/2004,108,5.9,Ren�e Zellweger,86030,Helen Fielding,2004,0.5655374999999907,2004-11-19
4050,-4588020,15000000,New Line Cinema,USA,Sean McNamara,Family,10411980,Raise Your Voice,PG,10/8/2004,100,5.9,Hilary Duff,23974,Mitch Rotter,2004,-30.586800000000004,2004-10-08
4051,-40832183,47000000,2003 Productions,France,Jean-Pierre Jeunet,Drama,6167817,A Very Long Engagement,R,1/14/2005,133,7.7,Audrey Tautou,65330,S�bastien Japrisot,2004,-86.87698510638297,2005-01-14
4052,-17168879,30000000,Metro-Goldwyn-Mayer (MGM),USA,Paul McGuigan,Drama,12831121,Wicker Park,PG-13,9/3/2004,114,7.0,Josh Hartnett,47335,Gilles Mimouni,2004,-57.22959666666667,2004-09-03
4053,11611066,25000000,Twentieth Century Fox Film Corporation,USA,Tim Story,Action,36611066,Taxi,PG-13,10/6/2004,97,4.4,Queen Latifah,35086,Luc Besson,2004,46.44426399999999,2004-10-06
4055,28237754,60000000,Dimension Films,USA,Todd Phillips,Comedy,88237754,Starsky & Hutch,PG-13,3/5/2004,101,6.1,Ben Stiller,125648,William Blinn,2004,47.06292333333333,2004-03-05
4056,-23990820,45000000,Twentieth Century Fox Film Corporation,USA,John Moore,Action,21009180,Flight of the Phoenix,PG-13,12/17/2004,113,6.1,Dennis Quaid,47448,Lukas Heller,2004,-53.31293333333333,2004-12-17
4057,-10810486,23000000,Alcon Entertainment,USA,Andy Cadiff,Comedy,12189514,Chasing Liberty,PG-13,1/9/2004,101,6.1,Mandy Moore,31901,Derek Guiley,2004,-47.00211304347827,2004-01-09
4059,-1297136,18000000,Fox 2000 Pictures,USA,Bart Freundlich,Adventure,16702864,Catch That Kid,PG,2/6/2004,91,5.2,Kristen Stewart,8514,Nikolaj Arcel,2004,-7.206311111111107,2004-02-06
4060,-13998867,31000000,Universal Pictures,UK,Richard Loncraine,Comedy,17001133,Wimbledon,PG-13,9/17/2004,98,6.3,Kirsten Dunst,54188,Adam Brooks,2004,-45.157635483870976,2004-09-17
4061,-3403207,3500000,Screen Gems,USA,Angela Robinson,Action,96793,D.E.B.S.,PG-13,3/25/2005,91,5.3,Sara Foster,12868,Angela Robinson,2004,-97.23448571428571,2005-03-25
4062,7003620,25000000,New Line Cinema,USA,David R. Ellis,Action,32003620,Cellular,PG-13,9/10/2004,94,6.5,Kim Basinger,82822,Larry Cohen,2004,28.01448,2004-09-10
4064,-22519256,27000000,Dimension Films,Netherlands,Renny Harlin,Crime,4480744,La isla maldita,R,5/13/2005,106,6.4,Val Kilmer,51913,Wayne Kramer,2004,-83.40465185185185,2005-05-13
4065,-9215287,22000000,Fox Searchlight Pictures,USA,David O. Russell,Comedy,12784713,I Heart Huckabees,R,10/22/2004,107,6.7,Jason Schwartzman,58556,David O. Russell,2004,-41.887668181818185,2004-10-22
4066,40369589,35000000,Twentieth Century Fox Film Corporation,USA,Peter Hewitt,Animation,75369589,Garfield,PG,6/11/2004,80,5.0,Breckin Meyer,64907,Jim Davis,2004,115.34168285714284,2004-06-11
4068,-785353,11000000,Fox Searchlight Pictures,USA,Bill Condon,Biography,10214647,Kinsey,R,1/7/2005,118,7.1,Liam Neeson,44032,Bill Condon,2004,-7.139572727272725,2005-01-07
4069,24641205,42000000,Revolution Studios,USA,Joseph Ruben,Drama,66641205,The Forgotten,PG-13,9/24/2004,91,5.8,Julianne Moore,59556,Gerald Di Pego,2004,58.6695357142857,2004-09-24
4070,39169327,19000000,Paramount Pictures,USA,Steven Brill,Adventure,58169327,Without a Paddle,PG-13,8/20/2004,95,5.9,Matthew Lillard,39199,Fred Wolf,2004,206.15435263157894,2004-08-20
4072,-9733871,35000000,Miramax,USA,Kevin Smith,Comedy,25266129,Jersey Girl,PG-13,3/26/2004,102,6.2,Ben Affleck,57178,Kevin Smith,2004,-27.811059999999998,2004-03-26
4074,-6863524,23000000,Focus Features,USA,Mira Nair,Drama,16136476,Vanity Fair,PG-13,9/1/2004,141,6.2,Reese Witherspoon,18147,Matthew Faulk,2004,-29.84140869565217,2004-09-01
4075,-11738519,12000000,Jet Tone Films,Hong Kong,Kar-Wai Wong,Drama,261481,2046,R,9/29/2004,129,7.5,Tony Chiu-Wai Leung,44039,Kar-Wai Wong,2004,-97.82099166666667,2004-09-29
4076,-2077789,16000000,Metro-Goldwyn-Mayer (MGM),USA,Jessy Terrero,Comedy,13922211,Soul Plane,R,5/28/2004,86,4.4,Dwayne Adway,19204,Bo Zenga,2004,-12.986181249999994,2004-05-28
4077,-50231945,57000000,Working Title Films,UK,Jonathan Frakes,Action,6768055,Thunderbirds,PG,7/30/2004,95,4.2,Bill Paxton,11740,Gerry Anderson,2004,-88.12621929824562,2004-07-30
4078,-8178014,50000000,Morgan Creek Productions,USA,Renny Harlin,Horror,41821986,Exorcist: The Beginning,R,8/20/2004,114,5.1,Stellan Skarsg�rd,29891,William Peter Blatty,2004,-16.356028000000002,2004-08-20
4079,-3607841,8600000,Broken Lizard Industries,USA,Jay Chandrasekhar,Comedy,4992159,Club Dread,R,2/27/2004,104,5.7,Jay Chandrasekhar,24974,Jay Chandrasekhar,2004,-41.951639534883725,2004-02-27
4080,-6928038,24000000,DreamWorks,USA,Robert Luketic,Comedy,17071962,Win a Date with Tad Hamilton!,PG-13,1/23/2004,100,5.6,Kate Bosworth,23925,Victor Levin,2004,-28.866824999999995,2004-01-23
4081,-29612294,40000000,Paramount Pictures,USA,Brian Robbins,Comedy,10387706,The Perfect Score,PG-13,1/30/2004,93,5.7,Scarlett Johansson,20826,Marc Hyman,2004,-74.03073499999999,2004-01-30
4082,3940582,5000000,United Artists,USA,Brian Dannelly,Comedy,8940582,Saved!,PG-13,6/11/2004,92,6.8,Jena Malone,41580,Brian Dannelly,2004,78.81164000000001,2004-06-11
4083,-32713269,100000000,Touchstone Pictures,USA,Joe Johnston,Action,67286731,Hidalgo,PG-13,3/5/2004,136,6.7,Viggo Mortensen,70672,John Fusco,2004,-32.713269,2004-03-05
4084,103951,500000,Whitewater Films,USA,Jacob Estes,Crime,603951,Mean Creek,R,9/29/2004,90,7.3,Rory Culkin,27763,Jacob Estes,2004,20.790200000000002,2004-09-29
4085,32066497,8000000,Screen Gems,USA,Chris Stokes,Drama,40066497,You Got Served,PG-13,1/30/2004,95,3.5,Omarion Grandberry,24154,Chris Stokes,2004,400.8312125,2004-01-30
4086,13780539,60000000,Revolution Studios,USA,Joe Roth,Comedy,73780539,Christmas with the Kranks,PG,11/24/2004,99,5.2,Tim Allen,30985,John Grisham,2004,22.96756499999999,2004-11-24
