,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,star,writer,year,ROI_pct,release_dt
2039,22804616,15000000,Twentieth Century Fox Film Corporation,USA,Bryan Spicer,Action,37804616,Mighty Morphin Power Rangers: The Movie,PG,6/30/1995,95,Karan Ashley,John Kamps,1995,152.03077333333331,1995-06-30
2040,17823573,50000000,Warner Bros.,USA,Wolfgang Petersen,Action,67823573,Outbreak,R,3/10/1995,127,Dustin Hoffman,Laurence Dworet,1995,35.647146,1995-03-10
2041,-7962153,9000000,Pandora Filmproduktion,USA,Jim Jarmusch,Drama,1037847,Dead Man,R,5/10/1996,121,Johnny Depp,Jim Jarmusch,1995,-88.46836666666667,1996-05-10
2042,38400000,53000000,Hollywood Pictures,USA,Tony Scott,Action,91400000,Crimson Tide,R,5/12/1995,116,Gene Hackman,Michael Schiffer,1995,72.45283018867924,1995-05-12
2043,47516617,24000000,Warner Bros.,USA,Clint Eastwood,Drama,71516617,The Bridges of Madison County,PG-13,6/2/1995,135,Clint Eastwood,Richard LaGravenese,1995,197.98590416666667,1995-06-02
2044,61919401,23000000,Hollywood Pictures,USA,John N. Smith,Biography,84919401,Dangerous Minds,R,8/11/1995,99,Michelle Pfeiffer,LouAnne Johnson,1995,269.2147869565217,1995-08-11
2045,1284514,20000000,Columbia Pictures Corporation,USA,Gus Van Sant,Comedy,21284514,To Die For,R,10/6/1995,106,Nicole Kidman,Joyce Maynard,1995,6.4225699999999994,1995-10-06
2047,-3877439,6000000,Gramercy Pictures (I),USA,Kevin Smith,Comedy,2122561,Mallrats,R,10/20/1995,94,Shannen Doherty,Kevin Smith,1995,-64.62398333333333,1995-10-20
2048,10116634,5000000,Halloween VI Productions,USA,Joe Chappelle,Horror,15116634,Halloween: The Curse of Michael Myers,R,9/29/1995,87,Donald Pleasence,Debra Hill,1995,202.33268,1995-09-29
2049,-9975917,60000000,Warner Bros.,USA,Geoff Murphy,Action,50024083,Under Siege 2: Dark Territory,R,7/14/1995,100,Steven Seagal,Richard Hatem,1995,-16.626528333333333,1995-07-14
2050,-5924000,25000000,TriStar Pictures,Canada,Robert Longo,Action,19076000,Johnny Mnemonic,R,5/26/1995,100,Keanu Reeves,William Gibson,1995,-23.696,1995-05-26
2052,30012507,20000000,Twentieth Century Fox Film Corporation,USA,Alfonso Arau,Drama,50012507,A Walk in the Clouds,PG-13,8/11/1995,102,Keanu Reeves,Robert Mark Kamen,1995,150.062535,1995-08-11
2053,-8300000,15000000,Sweetland Films,USA,Woody Allen,Comedy,6700000,Mighty Aphrodite,R,11/10/1995,95,Woody Allen,Woody Allen,1995,-55.333333333333336,1995-11-10
2054,-19693732,50000000,Warner Bros.,France,Richard Donner,Action,30306268,Assassins,R,10/6/1995,132,Sylvester Stallone,Lilly Wachowski,1995,-39.387464,1995-10-06
2055,-4327920,58000000,Constellation Entertainment,Germany,Sydney Pollack,Comedy,53672080,Sabrina,PG,12/15/1995,127,Harrison Ford,Samuel A. Taylor,1995,-7.461931034482759,1995-12-15
2056,3600000,28000000,United Artists,USA,Michael Caton-Jones,Adventure,31600000,Rob Roy,R,4/14/1995,139,Liam Neeson,Alan Sharp,1995,12.857142857142856,1995-04-14
2057,-17399565,55000000,Columbia Pictures Corporation,USA,Jerry Zucker,Action,37600435,First Knight,PG-13,7/7/1995,134,Sean Connery,Lorne Cameron,1995,-31.635572727272727,1995-07-07
2058,-19306351,30000000,Gaumont,France,Mel Brooks,Comedy,10693649,Dr�cula: Muerto pero feliz,PG-13,12/22/1995,88,Leslie Nielsen,Mel Brooks,1995,-64.35450333333334,1995-12-22
2059,-87982678,98000000,Beckner/Gorman Productions,USA,Renny Harlin,Action,10017322,Cutthroat Island,PG-13,12/22/1995,124,Geena Davis,Michael Frost Beckner,1995,-89.77824285714286,1995-12-22
2060,8088568,13000000,Tales From The Crypt Holdings,USA,Ernest R. Dickerson,Action,21088568,Tales from the Crypt: Demon Knight,R,1/13/1995,92,Billy Zane,Ethan Reiff,1995,62.21975384615385,1995-01-13
2061,28727965,22000000,Columbia Pictures Corporation,USA,Irwin Winkler,Action,50727965,The Net,PG-13,7/28/1995,114,Sandra Bullock,John Brancato,1995,130.58165909090908,1995-07-28
2062,14200000,10000000,Caravan Pictures,USA,Albert Hughes,Action,24200000,Dead Presidents,R,10/6/1995,119,Larenz Tate,Allen Hughes,1995,142.0,1995-10-06
