,duration,budget,gross,year,month,roi_outlier_ind
320,100,400000,68669,2014,5,False
321,95,400000,333388,2017,10,False
322,88,400000,3891,2015,1,False
323,79,400000,8438,2016,10,False
324,93,400000,4314,2016,11,False
325,95,400000,20062,2018,8,False
326,85,400000,178210,2016,9,False
327,87,400000,5731,2017,3,False
328,103,400000,369,2016,5,False
329,100,400000,19722,2019,3,False
330,106,415000,73383,2018,1,False
331,89,420000,14189,2004,9,False
332,90,420000,993313,2013,7,False
333,99,425000,12024,2002,3,False
334,82,425000,203917,2004,1,False
335,95,430000,1705609,2009,6,False
336,80,430000,401341,2010,2,False
337,91,450000,2712293,1991,6,False
338,89,450000,2087228,1999,5,False
339,105,450000,533,2002,2,False
340,92,450000,54000,2004,6,False
341,90,450000,7763,2005,10,False
342,84,450000,982814,2005,5,False
343,86,450000,769552,2011,1,False
344,80,450000,18202,2013,10,False
345,90,450000,94920,2012,2,False
346,100,450000,22303,2018,11,False
347,96,470000,35996,2018,10,False
349,78,485000,13905,2004,8,False
350,85,495000,63373,2015,11,False
352,97,500000,90091,1991,6,False
353,90,500000,1111790,1995,5,False
354,90,500000,16299,1996,11,False
355,88,500000,502313,1996,7,False
356,86,500000,375634,1997,2,False
357,111,500000,985341,1999,3,False
358,86,500000,1162001,2000,10,False
359,98,500000,307631,2001,3,False
360,112,500000,13411,2002,9,False
361,87,500000,119664,2001,10,False
362,93,500000,264349,2002,4,False
363,102,500000,1250798,2002,1,False
364,95,500000,254293,2002,5,False
365,99,500000,633761,2004,11,False
366,91,500000,15520,2002,10,False
368,101,500000,1111615,2003,1,False
369,78,500000,49048,2003,2,False
371,90,500000,802948,2004,8,False
372,89,500000,1190000,2003,1,False
373,91,500000,182378,2005,11,False
374,92,500000,173306,2004,10,False
375,87,500000,193968,2005,4,False
376,95,500000,115314,2005,3,False
377,104,500000,40758,2005,1,False
378,115,500000,1591523,2005,9,False
379,88,500000,269589,2006,1,False
380,92,500000,745327,2006,5,False
381,78,500000,89595,2005,8,False
382,153,500000,216922,2005,9,False
383,93,500000,67945,2006,8,False
384,92,500000,10856,2006,4,False
385,103,500000,22623,2006,7,False
386,90,500000,103318,2007,1,False
387,110,500000,316029,2005,10,False
388,91,500000,12232,2007,6,False
389,92,500000,5149,2007,10,False
390,95,500000,4197,2006,10,False
391,103,500000,2968,2006,5,False
392,84,500000,17182,2008,8,False
393,84,500000,53570,2007,1,False
394,140,500000,10686,2008,4,False
395,87,500000,424825,2007,3,False
396,100,500000,32033,2007,7,False
397,105,500000,57476,2006,11,False
398,98,500000,5830,2008,10,False
399,90,500000,153801,2007,11,False
400,85,500000,98201,2011,5,False
401,102,500000,2682733,2008,8,False
402,93,500000,9890,2008,4,False
404,95,500000,11495,2009,1,False
406,90,500000,104235,2009,1,False
408,93,500000,453708,2010,5,False
409,95,500000,4550,2016,9,False
411,81,500000,20615,2010,1,False
412,119,500000,31433,2015,8,False
413,82,500000,101729,2010,11,False
414,97,500000,333,2011,9,False
415,90,500000,70605,2013,9,False
416,100,500000,64572,2011,1,False
418,87,500000,1777,2012,4,False
419,84,500000,128668,2012,5,False
420,105,500000,20700,2013,2,False
421,92,500000,102819,2012,5,False
422,88,500000,60818,2012,6,False
423,100,500000,604565,2011,6,False
424,81,500000,499725,2012,12,False
425,82,500000,10709,2010,12,False
426,96,500000,55637,2012,4,False
427,105,500000,30104,2014,6,False
428,76,500000,410129,2013,3,False
429,107,500000,419952,2015,1,False
430,89,500000,5514,2014,6,False
431,84,500000,290080,2016,5,False
432,105,500000,446619,2014,5,False
433,92,500000,4767,2017,6,False
434,80,500000,21214,2015,2,False
435,93,500000,27836,2016,5,False
436,79,500000,2783970,2014,11,False
437,115,500000,56247,2014,12,False
438,88,500000,6263,2015,8,False
439,116,500000,175232,2017,5,False
440,99,500000,849857,2017,9,False
441,82,500000,1179,2016,11,False
442,85,500000,10864,2017,3,False
443,101,500000,5595,2019,12,False
445,90,500000,10606,2019,7,False
446,127,500000,5986,2018,5,False
447,104,531000,531026,2007,11,False
448,83,550000,1762052,2012,1,False
449,107,580000,8972,2016,9,False
450,87,600000,185898,1995,10,False
451,115,600000,3804,1996,4,False
452,106,600000,173599,2000,12,False
453,105,600000,1023156,2001,3,False
454,87,600000,7715,2002,10,False
455,112,600000,88245,2004,1,False
456,93,600000,8719,2007,2,False
457,90,600000,3072,2007,1,False
458,100,600000,83440,2007,2,False
459,93,600000,8025,2006,1,False
460,102,600000,4586,2007,4,False
461,103,600000,23616,2007,7,False
462,103,600000,105634,2008,8,False
463,89,600000,71007,2009,1,False
464,82,600000,4961,2013,5,False
465,115,600000,1914090,2014,2,False
466,88,600000,82312,2013,5,False
467,78,600000,1208479,2011,11,False
468,94,600000,461245,2012,10,False
469,98,600000,44202,2012,6,False
470,87,600000,33279,2013,4,False
472,91,600000,5510,2016,5,False
473,95,600000,12388,2016,3,False
474,80,600000,5519,2017,10,False
475,112,618086,623263,2018,9,False
476,79,635000,2921,2012,10,False
477,92,650000,2284034,1997,6,False
478,91,650000,5361,2005,7,False
479,90,650000,3558,2016,9,False
480,98,650000,405380,2010,6,False
481,86,650000,43458,2010,8,False
482,108,650000,90106,2013,4,False
483,103,650000,25480,2014,2,False
484,92,650000,17,2015,1,False
485,92,650000,68577,2014,4,False
486,92,650000,141862,2016,3,False
487,123,650000,416835,2018,9,False
488,131,691650,20979,2016,11,False
490,107,700000,357400,1990,9,False
491,93,700000,382928,1994,4,False
492,99,700000,871759,1998,4,False
493,97,700000,1846059,2001,11,False
494,92,700000,2187157,2001,9,False
495,99,700000,200219,2003,2,False
496,110,700000,3278000,2003,8,False
497,116,700000,279872,2005,1,False
499,90,700000,1271556,2007,4,False
500,93,700000,17977,2008,12,False
501,96,700000,81864,2008,1,False
502,89,700000,3463,2010,3,False
503,115,700000,1129687,2010,9,False
504,115,700000,2142342,2013,2,False
506,91,700000,21233,2014,11,False
507,133,700000,3853240,2014,9,False
508,140,700000,243897,2016,9,False
509,102,700000,273291,2017,3,False
510,103,700000,258008,2018,8,False
511,94,725000,442313,2013,9,False
512,86,740000,1918497,1997,7,False
513,88,750000,48058,2002,5,False
514,106,750000,21398,2005,2,False
515,91,750000,537667,2005,10,False
516,108,750000,4009677,2005,5,False
517,83,750000,6404,2006,2,False
519,89,750000,79226,2006,9,False
520,110,750000,48745,2007,10,False
521,100,750000,15213,2007,12,False
522,80,750000,1657729,2006,11,False
523,90,750000,1904640,2006,9,False
524,80,750000,525312,2010,2,False
525,85,750000,8050,2008,10,False
526,84,750000,9996,2009,5,False
527,101,750000,1178831,2011,3,False
528,95,750000,122784,2010,10,False
529,86,750000,4424699,2012,10,False
530,98,750000,41000,2012,3,False
